feature,importance
StateX_mean,10.49365731984704
StateY_mean,10.120970429126546
CenterArrow_run_length_avg,5.24437063724945
CenterArrow_count,4.871536691163876
delta_t_std,4.243685554116379
delta_t_max,4.221134829717582
delta_t_mean,3.956945464947164
time_since_event,3.901286132537865
RT_run_length_avg,2.8379931730053145
RT_count,2.801657839854034
delta_t_q75,2.7005378866279446
stick_distance_mean,2.273993404552708
stick_distance_std,2.242560483498043
B_run_length_avg,2.0280302816382694
B_count,2.001819764297199
StateX_std,1.9445312899389693
StateY_std,1.9227218139999607
Y_count,1.8869754941889134
Y_run_length_avg,1.8532880499102087
RB_run_length_avg,1.7288226870360384
RB_count,1.607564665811827
X_count,1.5321995719693298
Left_run_length_avg,1.3917682664776068
Left_count,1.3810643563496532
X_run_length_avg,1.3611747044798361
A_count,1.3064566998001472
Right_run_length_avg,1.3061246073437884
Right_count,1.2719744230771262
A_run_length_avg,1.2352718683222992
Center_run_length_avg,1.2031724534561523
Center_count,1.1633423692130762
Down_count,1.0804178141268843
Down_run_length_avg,1.0745835761920548
DownRight_count,0.8108239785812743
DownRight_run_length_avg,0.7942898648641044
DownLeft_count,0.7246163506267824
DownLeft_run_length_avg,0.7022313465081222
Up_count,0.6745915257906593
Up_run_length_avg,0.6488286441335054
LT_count,0.6472060422848592
UpRight_count,0.6434809271595874
UpRight_run_length_avg,0.6223956399953954
LT_run_length_avg,0.5717694374462149
UpLeft_count,0.4868548495612636
UpLeft_run_length_avg,0.4706222974344814
RightArrow_count,0.3631172340181512
RightArrow_run_length_avg,0.32172130686767875
LB_run_length_avg,0.24372501734398053
LB_count,0.22655514964215795
LStick_run_length_avg,0.125350662835078
LStick_count,0.11394111402178558
LeftArrow_count,0.08848154661135857
DownRightArrow_run_length_avg,0.08201428817274849
DownRightArrow_count,0.0772486361098042
delta_t_q25,0.07653098857732937
LeftArrow_run_length_avg,0.06826091109814722
DownArrow_run_length_avg,0.045773414061622233
DownArrow_count,0.03777320616390915
DownLeftArrow_run_length_avg,0.035672906583229726
DownLeftArrow_count,0.028655864514166598
UpRightArrow_count,0.012200071913562984
UpArrow_run_length_avg,0.011279700972449628
UpLeftArrow_run_length_avg,0.01028688222687691
UpLeftArrow_count,0.010247763476212802
UpRightArrow_run_length_avg,0.008965940286925473
idle_mean,0.008172473357164272
idle_max,0.0067922584985955796
UpArrow_count,0.006734315638290196
SELECT_run_length_avg,0.0006528470011455343
SELECT_count,0.000499991748100429
facing_direction,0.0
START_count,0.0
RStick_run_length_avg,0.0
START_run_length_avg,0.0
RStick_count,0.0
