feature,importance,importance_percent
CenterArrow_count,0.09581512715281543,9.581512715281542
CenterArrow_run_length_avg,0.09558316829786116,9.558316829786117
time_since_event,0.04395686535983475,4.395686535983475
delta_t_mean,0.0419906613582352,4.19906613582352
delta_t_std,0.04147470991955713,4.147470991955713
delta_t_max,0.03700652889693411,3.7006528896934108
stick_distance_mean,0.03446024303578131,3.446024303578131
delta_t_q75,0.031489209434842194,3.1489209434842196
stick_distance_std,0.029835828858488237,2.983582885848824
rapid_input_ratio,0.024513561480122195,2.4513561480122195
rapid_input_count,0.023041313631847443,2.3041313631847444
max_simultaneous_buttons,0.02301606765805596,2.3016067658055963
B_run_length_avg,0.022011300677698867,2.2011300677698866
simultaneous_press_count,0.02051115409274736,2.0511154092747357
B_count,0.019879793190573352,1.9879793190573352
RB_run_length_avg,0.01818329313567449,1.8183293135674488
Right_run_length_avg,0.016783432673246116,1.6783432673246117
Right_count,0.016489874571783764,1.6489874571783765
RT_run_length_avg,0.01644675058821046,1.644675058821046
mutual_attack_count,0.0157222506531292,1.57222506531292
simultaneous_press_ratio,0.015581635359823173,1.5581635359823174
RB_count,0.015251621754680434,1.5251621754680433
RT_count,0.01486621994156954,1.4866219941569538
aggressive_ratio,0.014537234311003877,1.4537234311003877
Down_count,0.01424545207090247,1.424545207090247
Down_run_length_avg,0.013546779016231036,1.3546779016231036
DownLeft_count,0.013361259905779806,1.3361259905779805
A_run_length_avg,0.01274942004404022,1.274942004404022
DownLeft_run_length_avg,0.012643499823659279,1.2643499823659279
Left_run_length_avg,0.01243843979106595,1.243843979106595
max_rapid_length,0.012396184323346668,1.2396184323346668
A_count,0.01237552606904655,1.237552606904655
has_simultaneous_press,0.01202767501017118,1.202767501017118
Left_count,0.011871705111088364,1.1871705111088364
Center_run_length_avg,0.011763854356742676,1.1763854356742676
Center_count,0.01133452302344666,1.133452302344666
Y_run_length_avg,0.010299074960661968,1.029907496066197
Up_run_length_avg,0.009631527572071483,0.9631527572071483
Up_count,0.009272282262225456,0.9272282262225456
X_run_length_avg,0.00905720593278661,0.9057205932786611
X_count,0.008777966156316002,0.8777966156316002
Y_count,0.008449232327294966,0.8449232327294967
DownRight_count,0.006918644777099033,0.6918644777099033
DownRight_run_length_avg,0.006910397696226652,0.6910397696226652
RightArrow_run_length_avg,0.006227742484736664,0.6227742484736664
UpLeft_count,0.006004732072815045,0.6004732072815046
UpLeft_run_length_avg,0.005498054078518547,0.5498054078518547
RightArrow_count,0.005224066861361625,0.5224066861361625
UpRight_run_length_avg,0.004600859054704833,0.46008590547048334
LT_count,0.004295048142860423,0.4295048142860423
UpRight_count,0.004197172168210254,0.41971721682102536
LT_run_length_avg,0.0030407166689724336,0.30407166689724335
has_rapid_input,0.002404177472809871,0.2404177472809871
DownRightArrow_count,0.0015931360501431646,0.15931360501431646
DownRightArrow_run_length_avg,0.0014868116026720446,0.14868116026720446
LB_count,0.0013255690807309373,0.13255690807309373
LB_run_length_avg,0.0010273663607611731,0.10273663607611731
LeftArrow_count,0.0009348538526056414,0.09348538526056414
LeftArrow_run_length_avg,0.0007261887459726855,0.07261887459726855
DownArrow_count,0.000571280100780927,0.0571280100780927
LStick_run_length_avg,0.00047305825820783917,0.047305825820783916
LStick_count,0.00037944700056196274,0.037944700056196275
delta_t_q25,0.0003750854417642033,0.03750854417642033
response_to_opponent_attack,0.00025683903126148236,0.025683903126148235
attack_after_opponent_defense,0.00015317819942242306,0.015317819942242307
DownArrow_run_length_avg,0.00015083749660166563,0.015083749660166563
DownLeftArrow_count,0.00013276589489107936,0.013276589489107937
DownLeftArrow_run_length_avg,0.00012235110531121844,0.012235110531121845
idle_mean,0.00011007131741291467,0.011007131741291467
UpArrow_count,6.391722674681134e-05,0.006391722674681134
UpLeftArrow_run_length_avg,3.5365584080437815e-05,0.0035365584080437815
UpLeftArrow_count,1.7616301154456487e-05,0.0017616301154456486
defensive_ratio,1.3645632706752593e-05,0.0013645632706752594
UpArrow_run_length_avg,1.360639005650597e-05,0.001360639005650597
UpRightArrow_run_length_avg,1.3051445883457773e-05,0.0013051445883457773
UpRightArrow_count,1.2892610561774043e-05,0.0012892610561774042
RStick_run_length_avg,0.0,0.0
RStick_count,0.0,0.0
shoryuken_count,0.0,0.0
has_shoryuken,0.0,0.0
has_hadoken,0.0,0.0
hadoken_count,0.0,0.0
